ID,Location_ID,Sensing_Date,HourDay,Direction_1,Direction_2,Total_of_Directions,Sensor_Name,Location
482220251030,48,2025-10-30,22,0,1,1,QVMQ_T,"-37.80631581, 144.95866697"
511420251010,51,2025-10-10,14,142,131,273,Fra118_T,"-37.80841815, 144.95906316"
371320251015,37,2025-10-15,13,100,104,204,Lyg260_T,"-37.80107122, 144.96704554"
721620251022,72,2025-10-22,16,118,534,652,ACMI_T,"-37.81726338, 144.96872809"
30820251002,30,2025-10-02,8,102,95,197,Lon189_T,"-37.8112185, 144.96656806"
1611320251023,161,2025-10-23,13,145,268,413,BirArt1109_T,"-37.81851276, 144.97131336"
1091020251025,109,2025-10-25,10,122,60,182,LatWill_T,"-37.81193681, 144.95621105"
210720251016,210,2025-10-16,7,57,43,100,WatCit_T,"-37.8157484, 144.93978108"
79020251017,79,2025-10-17,0,42,66,108,FliSS_T,"-37.81794046, 144.96616678"
1381220251005,138,2025-10-05,12,14,7,21,EntPark1671_T,"-37.81996544, 144.95981454"
6820251022,6,2025-10-22,8,182,1753,1935,FliS_T,"-37.81907439, 144.96557866"
75820251019,75,2025-10-19,8,16,19,35,SprFli_T,"-37.81515276, 144.97467661"
50620251017,50,2025-10-17,6,7,10,17,Lyg309_T,"-37.79808192, 144.96721013"
872020251025,87,2025-10-25,20,123,79,202,Errol23_T,"-37.80454949, 144.94921863"
5120251004,5,2025-10-04,1,79,65,144,PriNW_T,"-37.81874249, 144.96787656"
1672220251023,167,2025-10-23,22,9,14,23,Lat526_T,"-37.81304149, 144.95155955"
751820251013,75,2025-10-13,18,38,70,108,SprFli_T,"-37.81515276, 144.97467661"
841220251004,84,2025-10-04,12,1117,1056,2173,ElFi_T,"-37.81798049, 144.96503383"
711020251005,71,2025-10-05,10,4,1,5,WestWP_T,"-37.81235775, 144.97136962"
1361620251008,136,2025-10-08,16,143,62,205,BirFed1120_T,"-37.8184141, 144.97357915"
1651920251022,165,2025-10-22,19,17,16,33,Spen475_T,"-37.80953359, 144.94939004"
18120251012,18,2025-10-12,1,2,3,5,Col12_T,"-37.81344862, 144.97305353"
401820251023,40,2025-10-23,18,129,179,308,Spr201_T,"-37.80999341, 144.97227587"
111020251008,11,2025-10-08,10,19,14,33,WatCit_T,"-37.81564989, 144.93970694"
521120251013,52,2025-10-13,11,241,174,415,Eli263_T,"-37.81252157, 144.9619401"
108320251006,108,2025-10-06,3,8,11,19,261Will_T,"-37.81295822, 144.95678789"
1652220251016,165,2025-10-16,22,10,4,14,Spen475_T,"-37.80953359, 144.94939004"
167120251002,167,2025-10-02,1,1,1,2,Lat526_T,"-37.81304149, 144.95155955"
72720251002,72,2025-10-02,7,199,45,244,ACMI_T,"-37.81726338, 144.96872809"
133820251027,133,2025-10-27,8,455,450,905,Spen229_T,"-37.81531435, 144.95227769"
19920251005,19,2025-10-05,9,43,61,104,LtB210_T,"-37.81237202, 144.96550671"
182220251009,182,2025-10-09,2,27,15,42,King163_T,"-37.81627451, 144.95550503"
682320251007,68,2025-10-07,23,16,9,25,FLDegN_T,"-37.8168479, 144.96559789"
10420251014,10,2025-10-14,4,1,1,2,BouHbr_T,"-37.81876474, 144.94710545"
